  i      n         trapezio             simpson               boole
 ----------------------------------------------------------------------
  2        4      0.312425554409      0.416567405879      0.444338566270
  3        8      0.448843070178      0.494315575435      0.499498786738
  4       16      0.486305646676      0.498793172175      0.499091678624
  5       32      0.495863645010      0.499049644455      0.499066742607
  6       64      0.498264845766      0.499065246018      0.499066286123
  7      128      0.498865872096      0.499066214206      0.499066278752
  8      256      0.499016173981      0.499066274609      0.499066278636
  9      512      0.499053752282      0.499066278383      0.499066278634
 10     1024      0.499063147034      0.499066278618      0.499066278634
 11     2048      0.499065495733      0.499066278633      0.499066278634
 12     4096      0.499066082909      0.499066278634      0.499066278634
 13     8192      0.499066229703      0.499066278634      0.499066278634

valor exato da integral=    0.499066278634
